,articles,predicted_summaries,original_summaries,scores
0,poet sappho declared love women greek island lesbos may linked idea female homosexuality ancient times notorious sexual playground straight men found local women irresistible new bbc documentary former apprentice star margaret mountford reveal island magaluf day capital sex tourism professor hall king college london tells programme lesbos particular reputation producing beautiful women really supposed sexiest people entire greek world added ancient greek world word lesbian actually meant woman performing intimate sex act man professor hall also explained fact lesbos closer turkey athens added sexual allure women said also interesting accent would sounded almost oriental nearer asia greek accent would like mountford describes island sex tourism capital ancient aegean programme examines life legacy female poet sappho lived island around bc one great writers ancient world wrote poems appeared declarations love women result name island become synonymous although usage started th century residents island lost legal fight ban use word lesbian describe gay women arguing term violated human rights disgraced around world documentary mountford travels lesbos try uncover truth sappho life poet believed daughter mountford explores differences ancient greek concept homosexuality lesbos particular reputation producing beautiful women tv show reveal modern day comparison island lesbos magaluf day capital sex tourism professor james davidson said willingness ancient greeks embrace male female homosexuality may much social sexual said societies strange societies strange things really peculiar cultural phenomenon instead greek homosexuality think called greek homo always top always extreme whole phenomenon greek homosexuality men women seems kind cultural social institution using way social cohesion break family groups establish communities sappho phenomenon kind genius still follows culture time sappho love life lesbos margaret mountford shown bbc four may , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,the greek island was the sex tourism capital of the ancient former tv star margaret will describe life on the island in new television programme show also life and legacy of the female who lived on the island around bc ,0.06666666666666667
1,least migrants trying reach europe libya killed boat capsized emerged tonight also claimed body one migrant died another boat making perilous trip north africa italy tossed overboard trafficker circling sharks stories emerged migrants took advantage calm weather cross mediterranean past weekend scroll video rescued italian coast guard involved operation rescue migrants coast sicily april treatment refugee stretchered italian coast guard vessel palermo harbour italy april pregnant woman helped boat sicilian porto empedocle harbor monday italy coast guard helped save migrants monday capsized boat waters libya red cross volunteer carries baby wrapped blanket migrants disembarked sicilian porto empedocle harbor italy monday charity save children said capsized boat carrying people flipped around hours leaving libyan coast survivors mostly sub saharan africa rescued brought italian port monday weekend migrants already died crossing mediterranean far year number sharp rise period said geneva based international organisation migration migrants arrived italy last year packed boats people smugglers yesterday alleged trafficker one boat threw migrant overboard died asphyxiation hold vessel witnesses said body attacked sharks following boat suspected people smuggler guinea arrested sicily rescued along passengers thought also face manslaughter charges february people drowned attempting crossing cold weather rough seas saved rescued migrants onboard italian finance guard boat porto empedocle sicily april migrants arrived italy last year packed boats people smugglers calm weather migrants coast guard boat arrive sicilian porto empedocle harbor italy monday italian coast guard taking part rescue operation coast sicily april migrants took advantage calm weather cross mediterranean past weekend number migrant boats trying reach eu africa risen recent weeks fine weather makes route safer total rescued since friday reached boats italian coast guard navy ships merchant vessels delivered migrants rescued boats italian ports throughout yesterday pregnant woman board one italian navy ship died journey shore another pregnant migrant eritrea gave birth meanwhile eu frontex border agency said traffickers trying recover boat fired shots air warn away coastguard sparking concerns safety rescue workers migrants save children humanitarian groups called eu bolster rescue operations number boats soars summer usually italian coast guard said monday recovered nine bodies boat carrying migrants sank coast libya number migrant boats trying reach eu africa risen recent weeks fine weather makes route safer total rescued since friday reached boats migrants arrive sicilian porto empedocle harbor italy monday total rescued since friday reached boats migrant wheeled hospital malta flown island woman believed somali italy handles largest number migrant arrivals eu become increasingly alarmed breakdown law order libya home two rival governments loosely aligned militia forces growing militant islamist movement giovanna di save children official assisted new arrivals told times year old nigerian whose brother killed muslim fundamentalists told tortured electric shocks traffickers money travel many talking fleeing fundamentalists dimitris eu commissioner migration said europe must adapt deal rising numbers migrants unprecedented influx migrants borders particular refugees unfortunately new norm said brussels people entered eu illegally last year many travelled syria eritrea somalia libya made perilous journey across sea italy , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,around migrants trying to reach europe died when their boat capsized body of one migrant on another vessel was thrown to sharks stories emerged after more than crossed mediterranean at weekend ,0.0
2,britain biggest banks earmarked billions pounds costs fines last three years britain biggest banks racked billion bill three years pay financial scandals costs wiped per cent profits according accountants kpmg bill driven payment protection insurance scandal banks setting aside billion last year compensate customers another billion earmarked banks including barclays royal bank scotland hsbc pay fines rigging foreign exchange markets total charge wrongdoing last year billion per cent less previous year describing problem go away kpmg said banks also face mounting costs employing army compliance staff keep trouble rbs thought facing multibillion pound settlement us mis selling toxic bundles mortgage debt known mortgage backed securities run financial crisis barclays also braced huge fine rigging foreign exchange rates put aside billion far cover bill uk strengthening economy driven per cent drop losses bad loans write offs falling billion last year rbs boosted billion many loans went sour feared compares billion charge called impairment charges lloyds fell billion million improving economy meant fewer retail customers businesses defaulted repayments scroll video translated surge bottom line lloyds posting billion profit million rbs losses narrowed billion last year billion barclays hsbc standard chartered saw profits fall kpmg said banks must urgently tackle low return equity key measure shareholder value need invest technology increase profits tougher regulations forcing hold capital made expensive business especially higher risk areas banks including rbs barclays responded shrinking investment banking arms kpmg bill michael said banks undergoing lifetime change face evolving regulation technology society expectations regulation creates many non retail banking industry risks losing global relevance kpmg said banks must urgently tackle low return equity need invest technology increase profits , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,britain banks set aside billion last year in compensation last year another billion was for fines for foreign total charge of last year was billion figures revealed ,0.10526315789473684
3,danny willett gave rules official line sight verbal blast clearly audible spectators surrounding th green masters thursday englishman willett vented anger second shot beyond green trickled way across putting surface left preacher son facing bogey worse anyone know rules willett shouted loudly official sitting yards away golf cart outside gallery ropes danny willett waits play shot fifth first round masters thursday year old englishman carded one first ever round augusta willett still visibly angry left green bogey though calmed time spoke reporters minutes later said ire raised official line sight preparing play shot timed appreciate willett said carding one augusta national little bit tricky takes little bit time would like think referee timing knows exactly put buggy put buggy willett two time european tour winner playing first masters willett left frustrated rules official getting line sight round , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,danny willett referee for getting in line of sight anger at official as he the th at masters willett carded one under on opening round in first time at augusta ,0.07692307692307693
4,years ago david seaman pulled one iconic saves fa cup history sheffield united old trafford former arsenal keeper says best one ever made arsene wenger side hanging thread lower league opponents paul headed looked like equaliser seaman somehow managed hook away goal leaving players fans speechless year old revealed daily mirror save best career topped penalty heroics euro england david seaman says save sheffield united best one ever made career former england international went win fa cup arsenal season said fortunate enough make one two important saves penalties england open play one old trafford probably best arsenal formidable form season currently midst eight game winning streak seaman warns former side underestimate reading special th competitive appearance career arsenal england final southampton arsene wenger made captain day patrick vieira injured obviously massive honour seaman believes save tops penalty heroics england including euro although know time turned last game arsenal went manchester city summer six months later retire shoulder injury shows never take anything granted football hope going fall trap reading arsene wenger warned underestimate fa cup semi final opponents reading , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,david reveals that his save against sheffield united was his best the former arsenal keeper kept out paul header has warned the gunners to be of reading arsenal were given time by sheffield united back in click here for all the latest arsenal news ,0.05405405405405406
5,creating romantic toned images instagram filters play back early st century taking picture entirely different process requiring patience precision talented eye snaps young woman red posing lulworth cove dorset revealed earliest surviving colour photographs scroll video collection pictures christina gorman posing father electrical engineer photographer mervyn gorman back revealed earliest colour photographs ever taken ethereal images taken beach lulworth cove dorset malcolm images part royal photographic society held national media museum currently display national media museum bradford among collection world oldest surviving photographs woman question teenager christina gorman posing father electrical engineer photographer mervyn gorman back mervyn time took images daughter sits array vibrant red outfits including swimsuit cloak shirt teen characterised long strawberry blonde hair poses different scenarios beach lulworth cove english county dorset appears unaware father delicately coloured images display national media museum bradford christina seen sitting dorset beach friends year old images strawberry blonde teenager wore red probably request father vibrant colour captured particularly well via autochrome process mervyn known early pioneer colour photography used autochrome process capture haunting images patented process involved using glass plates covered potato grains filter pictures dye mervyn known early pioneer colour photography often used autochrome process involved using glass plates covered potato grains filter pictures dye christina life remains mystery recorded detail teen life national media museum explained comparatively long exposure time given sea glassy quality large aperture setting narrow depth field put durdle door background soft focus repetition red attire due fact vibrant colour captured particularly well autochrome process mervyn died wife florence passing years beforehand christina life recorded details , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,photographer was when he snapped the pictures in was known as an early of colour photography and used the process his teenage daughter posed in red at dorset photography process used and to create the do you know who was and what happened to her email femail mailonline co uk ,0.05128205128205128
6,psychologist surrendered registration woman suffering depression claimed told nice asked massage appointment throughout consultation woman house october sydney psychologist darryl dewar hugged client patted head directed sing used offensive language woman suicidal thoughts time also claimed called little thing asked mother ing bitch lots kids multiple fathers sydney psychologist surrendered registration woman claimed told nice consultation civil administrative tribunal reprimanded mr dewar last week banned registering psychologist unless takes part counselling education sydney doctor initially denied events took place consultation telling investigators brain confusion however admitted hugged woman liked helping people also said asked woman massage hurt neck reversing way house mr dewar immediately surrendered registration allegations made tribunal found guilty said would suspended three months woman said mr dewar lay feet told sing asked massage swore questioned actions woman said mr dewar stroked hair pushed head shoulder invited trip also lay feet told sing swore questioned actions although discrepancies mr dewar woman account events tribunal found woman evidence credible , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,sydney has his was accused of misconduct after woman claimed mr told her she had and swore at her she also said he her head and asked her for neck tribunal found the woman evidence was ,0.034482758620689655
7,two men became locked inside airtight bank vault six hours dramatically rescued firefighters using heavy drills jacob church joe tobin art exhibition former bank building vault door shut behind leaving trapped total darkness pair met earlier night fed water tube prevent becoming dehydrated police kept contact check oxygen levels getting dangerously low six hour ordeal eventually fire crews specialist drills able cut thick concrete walls trapped joe tobin jacob church pose selfie getting trapped vault locked pair met earlier night shut inside vault almost six hours exhibition duo attended launch exhibition art space cardiff wood street mr church well described incident launch night exhibition art space cardiff wood street pretty nuts hosting opening look hands exhibition described eyeball massacre massage visionary art one exhibition rooms old bank vault thick metal door held ajar year old admits little drunk went vault fellow art enthusiast mr tobin tried close door slightly shut fully inadvertently activated lock said realised really nice echo room went shut door tiny bit shut whole way first sort laughed phoned friends come let us minutes hearing banging door realised one could get us would think someone would code door rescue mission fire crews save pair meant exhibition shut saturday light emergency crews managed drill wall pass pair glow sticks ear plugs although two art enthusiasts could hear noise outside unaware going told fire service called first crews arrived initially tried unlock door work drill wall create hole large enough two men escape tried drilling two hours call back back mr church said part street cardiff closed emergency services access building initial amusement novelty situation quickly wore said mr church started fairly high hopes first hours singing running around room trying make best two three hours air hole started think going get point two fire engines specialist urban search rescue team arrived use drilling equipment penetrate thick concrete walls emergency crews drilled small hole vault door speak pair passed glow sticks light ear plugs handed plastic tube hole enable drink water strangers jacob church joe tobin locked vault total darkness six hours mr church former lab technician added got phone call every half hour police woman kept asking us oxygen levels ok worrying told run us anyway fire crews drilled around inch wide holes thick wall reinforced metal bars eventually created big enough hole two men crawl unharmed exhibition curator said always kept vault door open health safety reasons said people messing around physically closed door pretty difficult turned wheel lock door mechanism could get back informed immediately phoned emergency services straight away two men came good spirits unharmed ms said artists took former bank last june rent building demolished two years make way new bbc wales headquarters said chance repeat incident vault door permanently locked south wales fire rescue service spokeswoman said unusual one stretch imagination received call premises two male persons rescued internal bank vault limited air supply nature bank vault urban search rescue team called specialist equipment injuries assisted paramedics police also attendance gallery closed saturday reopen normal wednesday , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,jacob church and joe were locked inside bank vault bank vault was one of the rooms on show at cardiff art exhibition pair only met earlier in night and locked door behind them had to be rescued by fire crews who through thick concrete walls ,0.04878048780487805
8,barcelona fighting league cup double season midfield playmaker ivan rakitic enjoyed time away heat battle family celebrate st george day rakitic shared picture instagram followers wife daughter caption happy st george day enjoy princesses rakitic wife mauri also posted image celebrations barcelona star rakitic ivan rakitic poses alongside wife mauri pair enjoy st george day celebrations barcelona man rakitic also shared picture wife daughter described princesses rakitic integral part barcelona team since signing sevilla rakitic played full minutes barcelona sealed progress semi final champions league aggregate victory paris saint germain thanks win tuesday croatia midfielder instrumental luis enrique la liga leading side since signing rivals sevilla june barcelona two point lead real madrid spanish league six games remaining also await friday champions league semi final draw could face madrid juventus bayern munich , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,ivan celebrated st george day with his wife and daughter the barcelona midfielder played the whole game in tuesday psg win barcelona lead la liga by two points and are in champions league click here for sportsmail on the champions league final four who will win the champions league our reporters have their say ,0.06976744186046512
9,ed balls said would allow nicola sturgeon party insist deal would see scotland benefit expense england ed balls ruled post election pact snp would put scotland ahead england insisting would betrayal english vote shadow chancellor said unequivocal would allow nicola sturgeon party dictate deal england expense ed miliband insisted labour form coalition snp far stopped short dismissing looser arrangement could prop labour administration mr balls told wolverhampton express star newspaper snp point absolutely possibility vote put parliament budget measure labour budget would way disadvantage west midlands part england snp demand way unequivocal going labour clear coalition snp reason snp cannot stand interests people england want break uk went put vote parliament abolish bedroom tax want labour majority get snp decided vote idea would ever position snp come along say want advantage scotland west midlands return order win support would betrayal constituencies black country west midlands would betrayal english vote unequivocal yesterday revealed half scots plan back snp general election shattering ed miliband hopes securing labour majority nicola sturgeon buoyed series tv debates opposing austerity cuts despite threatening another referendum independence tns survey shows snp almost doubled lead labour month per cent backing ms sturgeon per cent scots planning vote mr miliband scottish nationalists surge polls comes amid signs split labour leadership london jim murphy labour leader scotland mr murphy suggested party would need make cuts achieve spending rules next parliament yesterday chuka umunna labour business spokesman slapped telling bbc daily politics programme cuts would made throughout life new parliament nicola sturgeon offered work labour ed miliband lock tories power even david cameron wins seats may ms sturgeon offered work labour lock tories power even david cameron wins seats may labour snp clashed ms sturgeon call full fiscal autonomy scotland suggestion another referendum could held march mr miliband flatly ruled going coalition snp attempted draw line weeks tory jibes labour leader insisted would power sharing deal nicola sturgeon party would lead government included snp ministers however stopped short dismissing looser arrangement could prop labour administration confidence supply agreement would essentially see scottish mps supporting labour helping get legislation commons , the year old is the in the league in the league the year old is the the the league in the league the year old is the the the league in the league,ed balls rules out any snp scotland at england ed miliband has ruled out coalition with nicola sturgeon party but stopped short of deal to prop up labour administration ,0.0
